Date,Category,Amount,Payment_Mode,Mood,Reason,Time_of_Day,Planned
1/1/2025,Food,120,UPI,Happy,Need,Morning,Yes
1/1/2025,Travel,60,UPI,Neutral,Need,Morning,Yes
1/2/2025,Shopping,450,UPI,Stressed,Stress,Night,No
1/3/2025,Food,200,Cash,Happy,Convenience,Evening,No
1/3/2025,Entertainment,300,UPI,Happy,Leisure,Night,No
1/4/2025,Food,150,UPI,Neutral,Need,Afternoon,Yes
1/5/2025,Shopping,800,Card,Stressed,Stress,Night,No
1/6/2025,Travel,90,Cash,Neutral,Need,Morning,Yes
1/7/2025,Food,220,UPI,Happy,Convenience,Evening,No
1/8/2025,Entertainment,400,UPI,Stressed,Stress,Night,No
1/9/2025,Food,180,UPI,Neutral,Need,Morning,Yes
1/10/2025,Travel,70,UPI,Happy,Need,Morning,Yes
1/11/2025,Shopping,350,Card,Happy,Convenience,Evening,No
1/12/2025,Food,250,Cash,Stressed,Stress,Night,No
1/13/2025,Entertainment,500,UPI,Happy,Leisure,Night,No
1/14/2025,Travel,100,UPI,Neutral,Need,Morning,Yes
1/15/2025,Food,140,UPI,Happy,Need,Afternoon,Yes
1/16/2025,Shopping,650,Card,Stressed,Stress,Night,No
1/17/2025,Food,210,Cash,Happy,Convenience,Evening,No
1/18/2025,Entertainment,280,UPI,Neutral,Leisure,Night,No
1/19/2025,Travel,85,UPI,Happy,Need,Morning,Yes
1/20/2025,Food,160,UPI,Neutral,Need,Afternoon,Yes
1/21/2025,Shopping,420,UPI,Stressed,Stress,Night,No
1/22/2025,Entertainment,360,Card,Happy,Leisure,Evening,No
1/23/2025,Food,230,Cash,Happy,Convenience,Evening,No
1/24/2025,Travel,95,UPI,Neutral,Need,Morning,Yes
1/25/2025,Food,175,UPI,Happy,Need,Afternoon,Yes
1/26/2025,Shopping,780,Card,Stressed,Stress,Night,No
1/27/2025,Entertainment,450,UPI,Happy,Leisure,Night,No
1/28/2025,Food,200,Cash,Neutral,Need,Evening,Yes
1/29/2025,Travel,110,UPI,Happy,Need,Morning,Yes
1/30/2025,Food,260,UPI,Stressed,Stress,Night,No
