Date,Category,Amount,Payment_Mode,Mood,Reason,Time_of_Day,Planned,Day,Expense_Type,Risk_Score
2025-01-01,Food,120,UPI,Happy,Need,Morning,Yes,Wednesday,Essential,0
2025-01-01,Travel,60,UPI,Neutral,Need,Morning,Yes,Wednesday,Essential,0
2025-01-02,Shopping,450,UPI,Stressed,Stress,Night,No,Thursday,Impulse,5
2025-01-03,Food,200,Cash,Happy,Convenience,Evening,No,Friday,Impulse,2
2025-01-03,Entertainment,300,UPI,Happy,Leisure,Night,No,Friday,Impulse,3
2025-01-04,Food,150,UPI,Neutral,Need,Afternoon,Yes,Saturday,Essential,0
2025-01-05,Shopping,800,Card,Stressed,Stress,Night,No,Sunday,Impulse,5
2025-01-06,Travel,90,Cash,Neutral,Need,Morning,Yes,Monday,Essential,0
2025-01-07,Food,220,UPI,Happy,Convenience,Evening,No,Tuesday,Impulse,2
2025-01-08,Entertainment,400,UPI,Stressed,Stress,Night,No,Wednesday,Impulse,5
2025-01-09,Food,180,UPI,Neutral,Need,Morning,Yes,Thursday,Essential,0
2025-01-10,Travel,70,UPI,Happy,Need,Morning,Yes,Friday,Essential,0
2025-01-11,Shopping,350,Card,Happy,Convenience,Evening,No,Saturday,Impulse,2
2025-01-12,Food,250,Cash,Stressed,Stress,Night,No,Sunday,Impulse,5
2025-01-13,Entertainment,500,UPI,Happy,Leisure,Night,No,Monday,Impulse,3
2025-01-14,Travel,100,UPI,Neutral,Need,Morning,Yes,Tuesday,Essential,0
2025-01-15,Food,140,UPI,Happy,Need,Afternoon,Yes,Wednesday,Essential,0
2025-01-16,Shopping,650,Card,Stressed,Stress,Night,No,Thursday,Impulse,5
2025-01-17,Food,210,Cash,Happy,Convenience,Evening,No,Friday,Impulse,2
2025-01-18,Entertainment,280,UPI,Neutral,Leisure,Night,No,Saturday,Impulse,3
2025-01-19,Travel,85,UPI,Happy,Need,Morning,Yes,Sunday,Essential,0
2025-01-20,Food,160,UPI,Neutral,Need,Afternoon,Yes,Monday,Essential,0
2025-01-21,Shopping,420,UPI,Stressed,Stress,Night,No,Tuesday,Impulse,5
2025-01-22,Entertainment,360,Card,Happy,Leisure,Evening,No,Wednesday,Impulse,2
2025-01-23,Food,230,Cash,Happy,Convenience,Evening,No,Thursday,Impulse,2
2025-01-24,Travel,95,UPI,Neutral,Need,Morning,Yes,Friday,Essential,0
2025-01-25,Food,175,UPI,Happy,Need,Afternoon,Yes,Saturday,Essential,0
2025-01-26,Shopping,780,Card,Stressed,Stress,Night,No,Sunday,Impulse,5
2025-01-27,Entertainment,450,UPI,Happy,Leisure,Night,No,Monday,Impulse,3
2025-01-28,Food,200,Cash,Neutral,Need,Evening,Yes,Tuesday,Essential,0
2025-01-29,Travel,110,UPI,Happy,Need,Morning,Yes,Wednesday,Essential,0
2025-01-30,Food,260,UPI,Stressed,Stress,Night,No,Thursday,Impulse,5
